"","folio","commune","hhsize","Farm_size","Hrd_ratio","Ttl_Lab","Ttl_Rev","Ttl_Cst","Grn_shr","SV_shr","SC_shr","OC_shr","SD_shr","Consumption"
"1",1,1,4,6.5,0.23,22.15,5728846.15,2065147.69,0.153846153846154,0.461538461538462,0.384615384615385,0,0,0.0321311475409836
"2",2,1,4,4,0.46,271,18450000,4297750,0,0.75,0.25,0,0,0
"3",3,1,5,10,0.53,77.3,7694500,3867099,0.45,0.55,0,0,0,0
"4",4,1,6,21.5,0.44,55.95,20209767.44,10350046.51,0,0.488372093023256,0.511627906976744,0,0,0.00164778578784758
"5",5,1,4,7,0.16,72.86,6228571.43,2331071.43,0,0.714285714285714,0.285714285714286,0,0,0.0109574468085106
"6",6,1,6,1,0.85,129,6e+06,1897000,0,1,0,0,0,0.005
"7",7,1,5,4,0.5,144.25,6888750,2928000,0,0.75,0.25,0,0,0
"8",8,1,4,3,0.61,172,8320000,2998200,0,1,0,0,0,0
"9",9,1,5,250,0.83,11.36,330840000,81278240,0.16,0.04,0.8,0,0,0
"10",10,1,4,3,0.88,95.33,7065000,2551500,0,1,0,0,0,0.00293701344656759
"11",11,1,7,6,0,30.17,6903333.33,1823000,0,0.666666666666667,0.333333333333333,0,0,0.0204007725736359
"12",12,1,4,12,0.61,22.58,18750000,5782666.67,0,0.166666666666667,0.833333333333333,0,0,0.00972222222222222
"13",13,1,2,3,0,2.67,5112000,1789000,0,0,1,0,0,0.0833333333333333
"14",14,1,6,46,0.08,2.57,39192000,11487950,0.5,0,0.5,0,0,0.000364870381710553
"15",15,1,3,1,0.57,56,4275000,875500,0,1,0,0,0,0.00333333333333333
"16",16,1,4,8.5,0.96,32.35,10470588.24,3739305.88,0,0.529411764705882,0.470588235294118,0,0,0.00727272727272727
"17",17,1,5,14,1,34.71,6977142.86,5950000,0.714285714285714,0.285714285714286,0,0,0,0.00210863697705803
"18",18,1,2,7,0.69,45.71,10175000,3221928.57,0,0.714285714285714,0.285714285714286,0,0,0.0093631669535284
"19",19,1,3,8,0,6.5,5808000,6820800,0,0,1,0,0,0.00681818181818182
"20",20,1,4,100,0,8.04,198800000,72600000,0,0,1,0,0,0
"21",21,1,4,20,1,11.2,44800000,21537900,0,0,1,0,0,0
"22",22,1,4,68,1,11.5,60150858.82,23114655.88,0.441176470588235,0,0.558823529411765,0,0,0
"23",23,1,5,1,0.95,55,6440000,1719500,0,1,0,0,0,0.00357142857142857
"24",24,1,4,12,0.34,65.75,14931666.67,8337583.33,0,0.416666666666667,0.583333333333333,0,0,0.00637605725439167
"25",25,1,5,4,0,26.5,28800000,4864000,0,1,0,0,0,0.000208333333333333
"26",26,1,4,13,0.32,39.38,13315384.62,5277115.38,0.384615384615385,0.615384615384615,0,0,0,0.00438368055555556
"27",27,1,3,10,1,35.8,2.7e+07,19964000,0,1,0,0,0,0
"28",28,1,5,3,0,53.67,2890000,1039666.67,0.333333333333333,0.666666666666667,0,0,0,0.0610841983852364
"29",29,1,6,10.5,0.81,27.05,6818095.24,2701023.81,0.761904761904762,0.238095238095238,0,0,0,0.106906077348066
"30",30,1,4,5,0,1.4,7e+06,4510000,0,0,1,0,0,0.008
"31",31,2,5,0.5,0,46,82500,243200,1,0,0,0,0,1
"32",32,2,2,5,0,4,1504000,348800,0.6,0,0.4,0,0,1
