"","HT","commune","crop","system","area","yield","CropPrice","HiredLabor","FamilyLab","PriceHrdLab","PriceFamLab","rentedMachCosts","InputCosts"
"1","H1","CAU","mel","irr",0.5,2000,100,0,89,6000,6000,20000,101000
"2","H1","CAU","wtm","irr",0.5,1000,500,0,65,6000,6000,20000,59000
"3","H1","PAR","oat","irr",2,70,11000,0.5,0,9000,9000,0,335000
"4","H1","PAR","oni","irr",0.5,1e+05,25,0,55,8000,8000,45000,168000
"5","H1","PAR","mze","irr",2,140,14000,6,0,9000,9000,1309000,615900
"6","H1","PAR","sgb","irr",2,124000,25,240,0,9000,9000,495000,460400
"7","H1","PAR","sqh","irr",0.5,1000,50,0,25,8000,8000,45000,2e+05
"8","H1","PEN","mze","irr",36.5,113,13450,4.01,10.21,8900,8100,749090,462245
"9","H1","PEN","mel","irr",55.5,24804.35,171,63.92,37.71,9304,8478,217717,705977
"10","H1","PEN","wtm","irr",37,12180.95,693,70.32,40.83,9429,8429,175976,851652
"11","H1","PEN","tom","irr",10,90000,30,35.8,0,12000,8000,7940000,904000
"12","H1","PEN","wht","irr",19,48.33,13333,5.01,2.71,8667,8667,911667,305067
"13","H1","PEN","wht","dry",35,61,14000,0.39,1.95,9800,8200,547300,190480
"14","H1","PEN","sqh","irr",14,35000,25,26.54,15.07,9500,7000,570000,238200
"15","H1","SC","pea","irr",4.5,104,7800,44.39,6.64,16667,8333,163833,508267
"16","H1","SC","oni","irr",25,169000,23,74.36,31.07,17900,9400,256500,705410
"17","H1","SC","mze","irr",4,80,12000,42.25,0,7000,7000,432000,373000
"18","H1","SC","smze","irr",6,24,80000,8.25,0,5733,5733,720000,398450
"19","H1","SC","pot","irr",15.5,350,1917,43.33,20.32,16333,9333,116333,728583
"20","H1","SC","scuc","irr",1,240,10500,175,80,16000,8000,912000,1500500
"21","H1","SC","cmb","irr",1,83,9500,74,6.5,8000,7000,126000,290000
"22","H1","SC","scbg","irr",4.5,625,9560,149.17,5.33,14000,8000,197250,857500
"23","H1","SC","wtm","irr",0.5,1320,1000,0,79,7500,7500,0,299000
"24","H1","SC","tom","irr",1,45000,130,78,60,15000,10000,0,511000
"25","H1","SC","wht","irr",6,80,16000,7.33,0,7000,7000,540000,197000
"26","H2","CAU","chk","dry",2.5,5.3,35000,0,16,5000,5000,0,60000
"27","H2","CAU","mze","irr",2,90,15000,25,11.5,6000,6000,0,195000
"28","H2","CAU","mze","dry",0.3,10,10000,0,10,6000,6000,8750,50000
"29","H2","CAU","pot","dry",0.3,48,10000,0,10,6000,6000,8750,32000
"30","H2","CAU","cmb","dry",0.5,5,30000,0,12,6000,6000,17000,16000
"31","H2","CAU","wht","dry",2.5,28.5,9000,0,8,5000,5000,87500,28000
"32","H2","PAR","mze","irr",2,54,11833,6.67,17.67,8333,7333,58333,113833
"33","H2","PAR","pot","irr",0.5,64,5000,0,26,7000,7000,0,20000
"34","H2","PAR","cmb","irr",1,4,30000,6,9,8000,8000,1e+05,58000
"35","H2","PAR","wht","dry",1,58.8,10500,0,0.75,8000,8000,135000,166000
"36","H2","PEN","mze","irr",56,114.17,13900,5.42,2.81,9050,8717,2320167,499350
"37","H2","PEN","mel","irr",2.5,38000,225,24,95.17,9500,8500,0,934000
"38","H2","PEN","wtm","irr",2.5,15000,800,24,95.17,9500,8500,0,850000
"39","H2","SC","oni","irr",3,160000,15,100,24.5,16000,10000,117000,380425
"40","H2","SC","mze","irr",31,96.11,15256,7.04,11.9,9222,8444,859500,399607
"41","H2","SC","smze","irr",0.5,20,88000,24,34,8000,8000,29000,717600
"42","H2","SC","pot","irr",23.5,300,2000,32.47,12.75,14000,8714,208714,541114
"43","H2","SC","cmb","irr",29,30.23,32000,14.47,18.15,9455,8545,262818,215636
"44","H2","SC","gbn","irr",1,150,6500,100,29,10000,10000,38000,511000
"45","H2","SC","swtm","irr",1,132,41000,54,5.5,10000,8000,138000,860000
"46","H2","SC","wht","irr",5,68,14000,0,4.8,10000,8000,438000,229000
"47","H3","CAU","oat","irr",3,30,9000,2.5,2.67,5000,5000,75000,250000
"48","H3","CAU","chk","dry",8,27.5,42000,10,0.5,8000,8000,166400,81000
"49","H3","CAU","smze","irr",32,34,60000,0,0,10000,10000,0,290000
"50","H3","CAU","wht","dry",37,32.62,12125,2.74,0.58,8250,8250,298500,201150
"51","H3","PAR","ric","irr",227,55.53,14542,1.08,8.07,9500,8816,710904,254661
"52","H3","PAR","oat","irr",2,32,7000,0,1.5,10000,8000,0,216000
"53","H3","PAR","chk","irr",10,20,45000,0,10.5,9000,9000,250000,66000
"54","H3","PAR","chk","dry",4,12.5,45000,10,0.38,10000,8000,2e+05,119000
"55","H3","PAR","mze","irr",21.5,115.4,14100,7.6,2.63,8775,7800,474500,452020
"56","H3","PAR","cmb","irr",9,25,42500,3,3.11,8438,7500,303000,106000
"57","H3","PAR","sgb","irr",24,107600,24,0,3.78,8000,7200,1223700,617200
"58","H3","PAR","sgb","dry",2.5,130000,25,0,0,8000,8000,5e+05,523500
"59","H3","PAR","tob","irr",2.5,28,12000,14.6,2.8,10000,7000,325000,432000
"60","H3","PAR","wht","irr",93.5,44.94,12417,0.26,2.12,8271,7444,363667,246072
"61","H3","PAR","wht","dry",83.5,42,12083,0.07,1.71,8500,7917,376667,173272
"62","H3","PEN","mze","irr",61,159,14100,9.13,1.02,9000,9000,5526600,517125
"63","H3","PEN","wht","dry",53,75,14050,1.73,1.28,9000,9000,1950000,251900
"64","H3","SC","oni","irr",2,150000,20,20,16.62,10000,7000,0,558000
"65","H3","SC","mze","irr",182,111.4,14460,10.73,1.54,8747,7247,6939800,591223
"66","H3","SC","smze","irr",186.5,35,61689,28.67,8.21,9611,8256,5592056,467089
"67","H3","SC","smel","irr",1,100,55200,47,16,8000,8000,1e+05,213500
"68","H3","SC","scuc","irr",16,221,10500,43.78,1.65,11500,8500,1408000,2618600
"69","H3","SC","cmb","irr",9,20.4,37000,7.24,15.54,9600,8400,226100,273032
"70","H3","SC","cbg","irr",3,20000,200,24,14.33,10000,7000,0,740000
"71","H3","SC","scbg","irr",9,320,23020,65.95,4.33,8000,8000,266667,768900
"72","H3","SC","swtm","irr",4,100,80000,76.5,3,8000,8000,320000,404000
"73","H3","SC","tob","irr",12,3280,1150,83.38,2.94,10000,9000,84000,447400
